hanzi,pinyin,english
趴,pa1,"to lie on one's stomach, to lean forward, resting one's upper body (on a desktop etc), (Taiwan) percent,"
翹,qiao2,"to stick up, to rise on one end, to tilt,"
誘惑,you4 huo4,"to entice, to lure, to induce, to attract,"
火箭,huo3 jian4,"rocket, CL:枚[méi],"
負擔,fu4 dan1,"burden, to bear a burden,"
輪胎,lun2 tai1,"tire, pneumatic tire,"
團體,tuan2 ti3,"group, organization, team, CL:個|个[gè],"
傾向,qing1 xiang4,"trend, tendency, orientation,"
遭遇,zao1 yu4,"to meet with, to encounter, (bitter) experience,"
嘴唇,zui3 chun2,"lip, CL:片[piàn],"
邊緣,bian1 yuan2,"edge, fringe, verge, brink, periphery, marginal, borderline,"
復活,fu4 huo2,"resurrection,"
雙胞胎,shuang1 bao1 tai1,"twin, CL:對|对[duì],"
修理,xiu1 li3,"to repair, to perform maintenance, to overhaul, to fix, to prune, to trim,"
立場,li4 chang3,"position, standpoint, CL:個|个[gè],"
情形,qing2 xing5,"circumstances, situation, CL:個|个[gè],"
仁慈,ren2 ci2,"benevolent, charitable, kind, kindly, kindness, merciful,"
意志,yi4 zhi4,"will, willpower, determination, CL:個|个[gè],"
導彈,dao3 dan4,"guided missile, cruise missile, missile, CL:枚[méi],"
隧道,sui4 dao4,"tunnel,"
無比,wu2 bi3,"incomparable, matchless,"
一向,yi1 xiang4,"always (previously), a period of time in the recent past,"
本事,ben3 shi4,"ability, skill,"
突破,tu1 po4,"to break through, to make a breakthrough, to surmount or break the back of (a task etc), (of ball sports) to break through a defense,"
指令,zhi3 ling4,"order, command, instruction,"
石油,shi2 you2,"oil, petroleum,"
撤退,che4 tui4,"to retreat,"
悲慘,bei1 can3,"miserable, tragic,"
模式,mo2 shi4,"mode, method,"
風暴,feng1 bao4,"storm, violent commotion, fig. crisis (e.g. revolution, uprising, financial crisis etc),"
忽略,hu1 lu:e4,"to neglect, to overlook, to ignore,"
外表,wai4 biao3,"external, outside, outward appearance,"
額外,e2 wai4,"extra, added, additional,"
干擾,gan1 rao3,"to interfere, obstruction,"
防守,fang2 shou3,"to defend, to protect (against),"
欺負,qi1 fu5,"to bully,"
挽救,wan3 jiu4,"to save, to remedy, to rescue,"
播放,bo1 fang4,"to broadcast, to transmit,"
脫離,tuo1 li2,"to separate oneself from, to break away from, diastasis (medicine), abscission, abjunction (botany),"
酗酒,xu4 jiu3,"heavy drinking, to get drunk, to drink to excess,"
節奏,jie2 zou4,"rhythm, tempo, musical pulse, cadence, beat,"
拼命,pin1 ming4,"to do one's utmost, with all one's might, at all costs, (to work or fight) as if one's life depends on it,"
操作,cao1 zuo4,"to work, to operate, to manipulate,"
情節,qing2 jie2,"plot, circumstances,"
吊,diao4,"a string of 100 cash (arch.), to lament, to condole with,"
過於,guo4 yu2,"too much, excessively,"
呵,a1,"expel breath, my goodness,"
井,Jing3,"a well, CL:口[kǒu], neat, orderly,"
慷慨,kang1 kai3,"vehement, fervent, generous, giving, liberal,"
迷失,mi2 shi1,"lost, not knowing one's location,"
細胞,xi4 bao1,"cell (biology),"
潛力,qian2 li4,"potential, capacity,"
舉動,ju3 dong4,"act, action, activity, move, movement,"
週年,zhou1 nian2,"anniversary, annual,"
財富,cai2 fu4,"wealth, riches,"
指責,zhi3 ze2,"to criticize, to find fault with, to denounce,"
良心,liang2 xin1,"conscience,"
容忍,rong2 ren3,"to put up with, to tolerate,"
渣,zha1,"slag (in mining or smelting), dregs,"
清除,qing1 chu2,"to eliminate, to get rid of,"
尊嚴,zun1 yan2,"dignity, sanctity, honor, majesty,"
收音機,shou1 yin1 ji1,"radio, CL:臺|台[tái],"
伴侶,ban4 lu:3,"companion, mate, partner,"
遭受,zao1 shou4,"to suffer, to sustain (loss, misfortune),"
腫瘤,zhong3 liu2,"tumor,"
發佈,fa1 bu4,"to release, to issue, to announce, to distribute,"
